,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/configure
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/configure.ac
4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/ltmain.sh
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/Makefile.in
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/Makefile.tpl
10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/c++tools/server.cc
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/analyze_brprob.py
12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/check_GNU_style_lib.py
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/dg-extract-results.py
14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/filter_params.py
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc_build
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/mklog.py
19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/update-copyright.py
20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc-changelog/git_commit.py
21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc-changelog/git_update_version.py
28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/adjust-alignment.c
29,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/alias.c
30,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/alloc-pool.h
31,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/asan.c
32,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/attr-fnspec.h
33,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/attribs.c
