,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/configure
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/configure.ac
21,,,,,,,,,,
23,,,,,,,,,,
28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/ltmain.sh
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/Makefile.in
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/Makefile.tpl
42,,,,,,,,,,
43,,,,,,,,,,
45,,,,,,,,,,
58,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/c++tools/server.cc
160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/analyze_brprob.py
170,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/check_GNU_style_lib.py
182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/dg-extract-results.py
189,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/filter_params.py
192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc_build
208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/mklog.py
210,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/patch_tester.sh
217,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/test_mklog.py
223,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/update-copyright.py
227,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc-changelog/git_commit.py
230,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc-changelog/git_update_version.py
232,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/contrib/gcc-changelog/test_email.py
312,,,,,,,,,,
313,,,,,,,,,,
316,,,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,,
478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/adjust-alignment.c
479,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/alias.c
483,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/alloc-pool.h
485,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/asan.c
487,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/attr-fnspec.h
488,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/attribs.c
489,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/attribs.h
490,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/auto-inc-dec.c
491,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/auto-profile.c
495,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/basic-block.h
496,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/bb-reorder.c
